keys,en,de
CAT_IMPORTANT,IMPORTANT,WICHTIG
CAT_SPAM,SPAM,SPAM
CAT_NEWSLETTER,NEWSLETTER,NEWSLETTER
CAT_PHISHING,PHISHING,PHISHING
BASE_IMPORTANT,🏢 Colleagues,🏢 Kollegen
BASE_SPAM,❓ Strangers,❓ Unbekannte
BASE_NEWSLETTER,📰 Subscriptions,📰 Abos
BASE_PHISHING,🔒 Account alerts,🔒 Konto-Warnungen
BASE_BOSS,★ The Boss,★ Der Chef
MAIL_WINDOW_TITLE,New Message,Neue Nachricht
BOSS_WINDOW_TITLE,★ MESSAGE FROM THE BOSS ★,★ NACHRICHT VOM CHEF ★
MAIL_FROM,From:,Von:
MAIL_SUBJECT,Subject:,Betreff:
SENDER_KAREN,Karen (Accounting),Karen (Buchhaltung)
SENDER_BERND,Bernd (IT),Bernd (IT)
SENDER_TEAMLEAD,Team Lead,Teamleitung
SENDER_HR,HR Department,Personalabteilung
SENDER_KEVIN,Kevin (Intern),Kevin (Praktikant)
SENDER_BOSS,The Boss,Der Chef
SENDER_MEGAMART,MegaMart Deals,MegaMart Angebote
SENDER_CATFACTS,Cat Facts Daily,Katzenfakten Täglich
SENDER_FITNESS,FitnessFreak Weekly,FitnessFreak Wöchentlich
SENDER_TECHDAILY,Tech Daily,Tech Daily
SENDER_WINNER,Lucky Winner Center,Gewinner-Zentrale
SENDER_DIET,Miracle Diet Ltd,Wunderdiät GmbH
SENDER_CRYPTO,Crypto Chris,Krypto-Chris
SENDER_LORD,Lord Reginald III,Lord Reginald III.
SENDER_PAYPOL,PayPol Security,PayPol Sicherheit
SENDER_BONK,Bonk Customer Service,Bonk Kundenservice
SENDER_ACCOUNT,Account Team,Konto-Team
SENDER_PARCEL,Parcel Service,Paketdienst
SENDER_CORP_SECURITY,DullCorp IT Security,DullCorp IT-Sicherheit
SUBJ_COMPANY_0,Meeting moved to 3pm,Meeting auf 15 Uhr verschoben
SUBJ_COMPANY_1,Budget report Q3,Budgetbericht Q3
SUBJ_COMPANY_2,Who took my yogurt?,Wer hat meinen Joghurt genommen?
SUBJ_COMPANY_3,Server downtime tonight,Serverwartung heute Nacht
SUBJ_COMPANY_4,Your vacation request,Dein Urlaubsantrag
SUBJ_COMPANY_5,Printer broken again,Drucker schon wieder kaputt
SUBJ_COMPANY_6,Timesheets due Friday,Stundenzettel bis Freitag
SUBJ_NEWS_0,This week's best deals,Die besten Angebote der Woche
SUBJ_NEWS_1,10 facts about cats,10 Fakten über Katzen
SUBJ_NEWS_2,Your weekly workout plan,Dein Trainingsplan der Woche
SUBJ_NEWS_3,Gadgets you will love,Gadgets zum Verlieben
